index, frame, sample, time, raw[0], cal[0]
0,10,0,0.0196078,17237,25.8494
1,11,0,0.0392157,17237,25.8494
2,13,0,0.0588235,17248,26.0505
3,15,0,0.0784314,17245,25.9957
4,17,0,0.0980392,17275,26.5442
5,19,0,0.117647,17277,26.5808
6,21,0,0.137255,17296,26.9282
7,23,0,0.156863,17263,26.3248
8,25,0,0.176471,17288,26.7819
9,27,0,0.196078,17249,26.0688
10,29,0,0.215686,17245,25.9957
11,31,0,0.235294,17236,25.8311
12,33,0,0.254902,17247,26.0322
13,35,0,0.27451,17283,26.6905
14,37,0,0.294118,17283,26.6905
15,39,0,0.313725,17270,26.4528
16,41,0,0.333333,17269,26.4345
17,43,0,0.352941,17263,26.3248
18,45,0,0.372549,17246,26.014
19,47,0,0.392157,17275,26.5442
20,49,0,0.411765,17267,26.3979
21,51,0,0.431373,17236,25.8311
22,53,0,0.45098,17287,26.7636
23,55,0,0.470588,17291,26.8368
24,57,0,0.490196,17238,25.8677
25,59,0,0.509804,17239,25.886
26,61,0,0.529412,17288,26.7819
27,63,0,0.54902,17275,26.5442
28,65,0,0.568627,17253,26.142
29,67,0,0.588235,17262,26.3065
30,69,0,0.607843,17243,25.9591
31,71,0,0.627451,17276,26.5625
32,73,0,0.647059,17265,26.3614
33,75,0,0.666667,17275,26.5442
34,77,0,0.686275,17244,25.9774
35,79,0,0.705882,17285,26.7271
36,81,0,0.72549,17264,26.3431
37,83,0,0.745098,17259,26.2517
38,85,0,0.764706,17272,26.4894
39,87,0,0.784314,17253,26.142
40,89,0,0.803922,17234,25.7945
41,91,0,0.823529,17276,26.5625
42,93,0,0.843137,17286,26.7453
43,95,0,0.862745,17297,26.9465
44,97,0,0.882353,17264,26.3431
45,99,0,0.901961,17237,25.8494
46,101,0,0.921569,17269,26.4345
47,103,0,0.941176,17251,26.1054
48,105,0,0.960784,17312,27.2207
49,107,0,0.980392,17280,26.6356
50,109,0,1,17257,26.2151
